resolution,scope,feature,lag,n,spearman_r,p,q_fdr
weekly,pooled,tmean_under_4°C,2,331,0.06839503634860251,0.2145743366098604,0.8748065108673045
weekly,pooled,tmean_under_10°C,2,331,0.06835944906141445,0.21481352174149185,0.8748065108673045
monthly,pooled,tmax_over_26°C,2,79,-0.14087459922071527,0.21558656781488228,0.8748065108673045
monthly,pooled,wind_over_25km/h,0,83,-0.1369891806586113,0.2168546581502658,0.8748065108673045
monthly,gilde,tmean_under_6°C,1,40,0.19897930015439194,0.21835902198461546,0.8748065108673045
monthly,gilde,tmin_under_-1°C,0,41,-0.19583403020851073,0.21978705224218517,0.8748065108673045
weekly,gilde,wind_max_kmh_mean,1,171,-0.09431684546523628,0.2198061037189864,0.8748065108673045
weekly,pooled,tmin_under_3°C,2,331,0.06748883918639932,0.22072465680210293,0.8748065108673045
monthly,pooled,temp_max_c_max,2,79,0.13918134350280584,0.2212098972196028,0.8748065108673045
monthly,pooled,precip_over_10mm,2,79,0.13917014638259026,0.22124742282365986,0.8748065108673045
monthly,gilde,wind_over_25km/h,0,41,-0.19494555227529412,0.2219279434136796,0.8748065108673045
monthly,pooled,snow_over_2cm,1,81,0.13717504221854857,0.22202205606386713,0.8748065108673045
weekly,ummels,tmean_under_6°C,2,161,0.09675110012738371,0.22211069670980477,0.8748065108673045
weekly,gilde,tmax_under_7°C,0,172,-0.09354795143561145,0.22223663808794497,0.8748065108673045
weekly,gilde,wind_over_25km/h,1,171,-0.09343957028130903,0.22414486721412422,0.8748065108673045
monthly,pooled,rain_over_5mm,2,79,0.13827411736481074,0.22426485356477566,0.8748065108673045
monthly,ummels,tmax_under_3°C,1,41,0.1934445613504594,0.22557727656958423,0.8748065108673045
weekly,ummels,tmean_under_2°C,1,162,-0.09569639142215089,0.22575492430006394,0.8748065108673045
weekly,gilde,snow_over_0.1cm,2,170,0.09310709272559214,0.227187098802548,0.8748065108673045
weekly,gilde,tmean_under_8°C,2,170,0.09302659239290764,0.2275909042335648,0.8748065108673045
weekly,gilde,gust_over_40km/h,1,171,-0.09257791387225763,0.2284651144162517,0.8748065108673045
monthly,gilde,tmax_over_25°C,2,39,-0.19730488697780607,0.22860577885278532,0.8748065108673045
monthly,gilde,snow_over_1cm,2,39,0.19719246097555726,0.22887640394696424,0.8748065108673045
monthly,gilde,tmax_over_24°C,2,39,-0.19708063794154698,0.22914579442831562,0.8748065108673045
